zone,population,placename,category,2010,2011,2012,2013,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,2024,2025,2026,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
14,6900,North Reilly Road,Motor Vehicle Theft,34,22,42,33,31,17,18,35,24,30,28,26,24,31,31,38,7,28,78,26,-20,-6.7,16.7,8,434.8,405.8,376.8,347.8,405.8,376.8
14,6900,North Reilly Road,Murder,0,1,0,1,1,2,2,1,4,0,4,1,1,0,1,1,0,0,6,2,NA,NA,-100,-100,0,58,14.5,14.5,0,29
14,6900,North Reilly Road,Other/Unknown,271,301,304,328,254,271,286,296,300,258,256,257,212,202,173,274,85,265,725,241.7,-17.8,2.7,25,10,3739.1,3710.1,3724.6,3072.5,3840.6,3502.9
14,6900,North Reilly Road,Robbery,7,12,12,14,9,18,20,11,7,8,7,7,7,4,7,10,1,5,21,7,-12.5,-37.5,-28.6,-29,115.9,101.4,101.4,101.4,72.5,101.4
14,6900,North Reilly Road,Theft,233,234,275,242,255,199,200,223,187,171,158,141,123,114,78,123,42,123,422,140.7,-28.1,-28.1,0,-13,2478.3,2289.9,2043.5,1782.6,1782.6,2039.1
15,11100,Beaver Creek and Cottonade,Aggravated Assault,19,17,28,12,23,32,30,66,55,56,51,54,44,49,31,47,9,41,149,49.7,-21.4,-26.8,-6.8,-18,504.5,459.5,486.5,396.4,369.4,447.7
15,11100,Beaver Creek and Cottonade,Burglary,293,251,257,194,194,192,133,122,94,68,74,50,56,50,42,28,19,43,180,60,-17.6,-36.8,-23.2,-28,612.6,666.7,450.5,504.5,387.4,540.5
15,11100,Beaver Creek and Cottonade,Motor Vehicle Theft,40,50,56,31,49,30,31,36,50,30,41,34,39,58,47,60,13,43,114,38,30,43.3,10.3,13,270.3,369.4,306.3,351.4,387.4,342.3
15,11100,Beaver Creek and Cottonade,Murder,0,3,1,2,0,0,4,0,3,2,0,2,3,4,3,6,0,2,5,1.7,50,0,-33.3,18,18,0,18,27,18,15.3
15,11100,Beaver Creek and Cottonade,Other/Unknown,501,595,505,514,487,522,473,483,447,411,376,386,403,343,309,431,115,368,1165,388.3,-1.9,-10.5,-8.7,-5,3702.7,3387.4,3477.5,3630.6,3315.3,3498.2
15,11100,Beaver Creek and Cottonade,Robbery,38,33,58,24,21,20,15,14,25,17,16,9,8,14,14,14,7,16,33,11,-52.9,-5.9,100,45,153.2,144.1,81.1,72.1,144.1,99.1
15,11100,Beaver Creek and Cottonade,Theft,403,420,475,504,432,326,369,315,250,266,274,233,220,227,170,260,83,241,727,242.3,-17.3,-9.4,9.5,-1,2396.4,2468.5,2099.1,1982,2171.2,2182.9
16,10700,Loch Lommond and Beaver Creek Pond,Aggravated Assault,12,11,15,16,14,24,33,43,36,59,41,59,60,45,24,42,17,37,160,53.3,1.7,-37.3,-38.3,-31,551.4,383.2,551.4,560.7,345.8,498.1
16,10700,Loch Lommond and Beaver Creek Pond,Burglary,283,244,265,253,164,126,105,117,119,79,65,37,47,40,31,24,11,27,149,49.7,-40.5,-65.8,-42.6,-46,738.3,607.5,345.8,439.3,252.3,464.5
16,10700,Loch Lommond and Beaver Creek Pond,Motor Vehicle Theft,55,35,33,33,52,24,32,35,16,23,37,28,25,51,34,40,25,47,90,30,8.7,104.3,88,57,215,345.8,261.7,233.6,439.3,280.4
16,10700,Loch Lommond and Beaver Creek Pond,Murder,1,1,0,1,0,2,1,0,0,1,0,2,2,0,1,2,0,0,4,1.3,100,-100,-100,-100,9.3,0,18.7,18.7,0,12.1
16,10700,Loch Lommond and Beaver Creek Pond,Other/Unknown,448,450,440,522,405,399,365,382,343,366,349,326,320,273,227,311,111,285,995,331.7,-12.6,-22.1,-10.9,-14,3420.6,3261.7,3046.7,2990.7,2663.6,3100
16,10700,Loch Lommond and Beaver Creek Pond,Robbery,9,22,22,18,12,13,12,15,14,11,8,9,8,9,10,3,1,2,25,8.3,-27.3,-81.8,-75,-76,102.8,74.8,84.1,74.8,18.7,77.6
16,10700,Loch Lommond and Beaver Creek Pond,Theft,281,250,333,315,285,241,311,261,152,172,243,134,160,155,118,153,81,190,537,179,-7,10.5,18.8,6,1607.5,2271,1252.3,1495.3,1775.7,1672.9
17,7000,Hollywood Heights,Aggravated Assault,33,30,32,24,20,22,40,49,41,42,48,44,53,59,36,56,13,42,145,48.3,26.2,0,-20.8,-13,600,685.7,628.6,757.1,600,690
17,7000,Hollywood Heights,Burglary,241,264,230,126,72,62,81,79,55,44,62,38,42,51,36,26,18,34,142,47.3,-4.5,-22.7,-19,-28,628.6,885.7,542.9,600,485.7,675.7
17,7000,Hollywood Heights,Motor Vehicle Theft,61,56,49,50,37,35,31,26,29,16,25,25,28,34,56,44,23,53,78,26,75,231.2,89.3,104,228.6,357.1,357.1,400,757.1,371.4
17,7000,Hollywood Heights,Murder,0,0,0,0,0,0,0,0,1,1,2,2,1,1,0,2,0,2,5,1.7,0,100,100,18,14.3,28.6,28.6,14.3,28.6,24.3
17,7000,Hollywood Heights,Other/Unknown,562,588,643,549,451,479,434,466,364,404,341,331,364,297,286,415,143,428,1036,345.3,-9.9,5.9,17.6,24,5771.4,4871.4,4728.6,5200,6114.3,4932.9
